stop_id,parent_station,stop_name,route_type,name,geometry,lat,lon
000008007273,000000037982,Wahlstedt,2,Rail,"c(10.229782785281, 53.961012819748)",53.961012819748,10.229782785281
000008010304,000008010304_G,Rostock Hbf,2,Rail,"c(12.131073054308, 54.078234437674)",54.078234437674,12.131073054308
000008010324,750008010324,Schwerin Hbf,2,Rail,"c(11.407446808402, 53.634728987866)",53.634728987866,11.407446808402
000008070146,000000084950,Sternschanze (Messe),2,Rail,"c(9.96944599572, 53.563821982437)",53.563821982437,9.96944599572
000008070185,000000037973,Alveslohe,2,Rail,"c(9.916587746909, 53.791446598669)",53.791446598669,9.916587746909
000008079023,000000037986,Moorbekhalle (Schulzentrum Nord),2,Rail,"c(9.991763285848, 53.716900612166)",53.716900612166,9.991763285848
000008079023,000000037986,Moorbekhalle (Schulzentrum Nord),-714,Railway Replacement Bus Service,"c(9.991763285848, 53.716900612166)",53.716900612166,9.991763285848
000008079024,000000037972,Friedrichsgabe,2,Rail,"c(9.98901945708, 53.72842429383)",53.72842429383,9.98901945708
000008079024,000000037972,Friedrichsgabe,-714,Railway Replacement Bus Service,"c(9.98901945708, 53.72842429383)",53.72842429383,9.98901945708
000008079025,000000037970,Haslohfurth,2,Rail,"c(9.986848795714, 53.74441775118)",53.74441775118,9.986848795714
000008079025,000000037970,Haslohfurth,-714,Railway Replacement Bus Service,"c(9.986848795714, 53.74441775118)",53.74441775118,9.986848795714
000008079026,000000037969,Meeschensee,2,Rail,"c(9.979886597858, 53.75397216355)",53.75397216355,9.979886597858
000008079026,000000037969,Meeschensee,-714,Railway Replacement Bus Service,"c(9.979886597858, 53.75397216355)",53.75397216355,9.979886597858
000008079027,000000036961,Norderstedt Mitte,2,Rail,"c(9.99252696047, 53.707522758823)",53.707522758823,9.99252696047
000008079027,000000036961,Norderstedt Mitte,-714,Railway Replacement Bus Service,"c(9.99252696047, 53.707522758823)",53.707522758823,9.99252696047
000008079028,000000037971,Quickborner Straße,2,Rail,"c(9.98989922762, 53.734266346289)",53.734266346289,9.98989922762
000008079028,000000037971,Quickborner Straße,-714,Railway Replacement Bus Service,"c(9.98989922762, 53.734266346289)",53.734266346289,9.98989922762
000008079605,750008079605,Herzhorn,-714,Railway Replacement Bus Service,"c(9.486114725815, 53.783804808262)",53.783804808262,9.486114725815
000008079605,750008079605,Herzhorn,2,Rail,"c(9.486114725815, 53.783804808262)",53.783804808262,9.486114725815
000000370550,000000037187,"Tangstedt (OD), Eichholzkoppel",3,Bus,"c(10.093760731457, 53.732374443011)",53.732374443011,10.093760731457
000000988007,000000098806,"Tangstedt (PI), Steenacker",3,Bus,"c(9.840592938997, 53.673725015484)",53.673725015484,9.840592938997
000000610151,000000061000,Pinkertweg 12,3,Bus,"c(10.089645034581, 53.526799831345)",53.526799831345,10.089645034581
000000800003,000000080058,Behnstraße,3,Bus,"c(9.943001710753, 53.546116733549)",53.546116733549,9.943001710753
000000800005,000000080060,Sandberg,3,Bus,"c(9.944561767578, 53.544361251625)",53.544361251625,9.944561767578
000000830145,000000083041,Mühlenauweg,3,Bus,"c(9.909636700562, 53.604743857013)",53.604743857013,9.909636700562
800000310209,000000085524,"Nusse, ZOB",3,Bus,"c(10.577685506337, 53.655198468393)",53.655198468393,10.577685506337
800000375001,000000085175,"Mölln, ZOB",3,Bus,"c(10.685983342402, 53.627689098935)",53.627689098935,10.685983342402
800000375003,000000085167,Bf. Mölln,3,Bus,"c(10.684126996019, 53.625109296161)",53.625109296161,10.684126996019
800000375006,000000037500,"Mölln, Brauerstraße",3,Bus,"c(10.686276215245, 53.622904395737)",53.622904395737,10.686276215245
800000375008,000000037540,"Mölln, Bismarckstraße",3,Bus,"c(10.687878219858, 53.620248888686)",53.620248888686,10.687878219858
800000375013,000000085172,"Mölln, Schulberg",3,Bus,"c(10.68322572746, 53.616899750026)",53.616899750026,10.68322572746
800000375015,000000037508,"Mölln, Berliner Straße",3,Bus,"c(10.692351463342, 53.613814565195)",53.613814565195,10.692351463342
800000375017,000000037509,"Mölln, Martin-Behaim-Straße",3,Bus,"c(10.69358022816, 53.612044889106)",53.612044889106,10.69358022816
800000375019,000000037510,"Mölln, Papenkamp",3,Bus,"c(10.695519286436, 53.607641197114)",53.607641197114,10.695519286436
800000375021,000000037511,"Mölln, Grundschule Tanneck",3,Bus,"c(10.692577842272, 53.605121828425)",53.605121828425,10.692577842272
800000375023,000000037512,"Mölln, Stolper Straße",3,Bus,"c(10.696509812632, 53.601822139239)",53.601822139239,10.696509812632
800000375025,000000037513,"Mölln, Kolberger Straße",3,Bus,"c(10.694958895949, 53.601197131853)",53.601197131853,10.694958895949
800000375026,000000037514,"Mölln, Memeler Straße",3,Bus,"c(10.691471322956, 53.595962690785)",53.595962690785,10.691471322956
800000375027,000000037515,"Mölln, Königsberger Straße",3,Bus,"c(10.69678398763, 53.5950966506)",53.5950966506,10.69678398763
800000375028,000000037516,"Mölln, Waldstadt",3,Bus,"c(10.694007608019, 53.590642963484)",53.590642963484,10.694007608019
800000375029,000000037517,"Mölln, Danziger Straße",3,Bus,"c(10.699544063423, 53.591606791029)",53.591606791029,10.699544063423
800000375030,000000037518,"Mölln, Posener Straße",3,Bus,"c(10.702594201232, 53.595714983739)",53.595714983739,10.702594201232
800000375031,000000037519,"Mölln, Kalandsbrede",3,Bus,"c(10.699294551219, 53.599311426779)",53.599311426779,10.699294551219
800000375032,000000085169,"Mölln, Hempschört",3,Bus,"c(10.681153883771, 53.620667082792)",53.620667082791996,10.681153883771
800000375033,000000037521,"Mölln, Grambeker Weg",3,Bus,"c(10.679752611748, 53.6173529467)",53.6173529467,10.679752611748
800000375034,000000037522,"Mölln, Delvenauweg",3,Bus,"c(10.677998754446, 53.613145136066)",53.613145136066,10.677998754446
800000375035,000000037523,"Mölln, Hansestraße",3,Bus,"c(10.676486580199, 53.609688740127)",53.609688740127,10.676486580199
800000375036,000000037524,"Mölln, Bürgermeister-Oetken-Straße",3,Bus,"c(10.680083733632, 53.606286464194)",53.606286464194,10.680083733632
800000375037,000000037525,"Mölln, Massower Straße",3,Bus,"c(10.683579443113, 53.608322073217)",53.608322073217,10.683579443113
800000375038,000000037526,"Mölln, Paul-Gerhardt-Straße",3,Bus,"c(10.685000378349, 53.612130125366)",53.612130125366,10.685000378349
800000375039,000000037527,"Mölln, Zillestraße",3,Bus,"c(10.68498603173, 53.615563001449)",53.615563001449,10.68498603173
800000375040,000000037528,"Mölln, Immenstelle",3,Bus,"c(10.690352755584, 53.61409443838)",53.61409443838,10.690352755584
800000375042,000000037529,"Mölln, Hasengrund",3,Bus,"c(10.6965201728, 53.616019998792)",53.616019998792,10.6965201728
800000375043,000000037530,"Mölln, Gudower Weg",3,Bus,"c(10.692522145905, 53.620722432588)",53.620722432588,10.692522145905
800000375045,000000085168,"Mölln, Marktstraße",3,Bus,"c(10.691074426869, 53.629495321403)",53.629495321403,10.691074426869
800000375047,000000037533,"Mölln, Wassertor (Schmilauer Str.)",3,Bus,"c(10.693246905322, 53.63240302816)",53.63240302816,10.693246905322
800000375049,000000085373,"Mölln, Landwirtschaftsschule",3,Bus,"c(10.701124068267, 53.633162924193)",53.633162924193,10.701124068267
800000375051,000000037535,"Mölln, Augustinum",3,Bus,"c(10.709667007179, 53.632807504738)",53.632807504738,10.709667007179
800000375052,000000037536,"Mölln, Pater-Lenner-Weg",3,Bus,"c(10.713789860014, 53.631948753533)",53.631948753533,10.713789860014
800000375055,000000037538,"Mölln, Alte Zirkuskoppel",3,Bus,"c(10.689959542301, 53.635262141134)",53.635262141134,10.689959542301
800000375057,000000037539,"Mölln, Stecknitzweg",3,Bus,"c(10.681251891303, 53.634153741953)",53.634153741953,10.681251891303
800000375059,000000085189,Bf. Ratzeburg,3,Bus,"c(10.741593852485, 53.698349627661)",53.698349627661,10.741593852485
800000375060,000000085284,"Ratzeburg, Heinrich-Hertz-Straße",3,Bus,"c(10.74407404912, 53.699005445229)",53.699005445229,10.74407404912
800000375061,000000085191,"Ratzeburg, Finanzamt",3,Bus,"c(10.75032186689, 53.699588215838)",53.699588215838,10.75032186689
800000375062,000000085700,"Ratzeburg, Matthias-Claudius-Straße",3,Bus,"c(10.743708149509, 53.698579446019)",53.698579446019,10.743708149509
800000375063,000000037545,"Ratzeburg, Friedrich-Ebert-Straße",3,Bus,"c(10.744300892726, 53.695704268881)",53.695704268881,10.744300892726
800000375064,000000085702,"Ratzeburg, Albsfelder Weg",3,Bus,"c(10.746571271087, 53.692759692008)",53.692759692008,10.746571271087
800000375065,000000085703,"Ratzeburg, Siemensstraße",3,Bus,"c(10.751085175532, 53.690986401084)",53.690986401084,10.751085175532
800000375066,000000085195,"Ratzeburg, Möllner Straße",3,Bus,"c(10.753766433985, 53.692843205604)",53.692843205604,10.753766433985
800000375067,000000091072,"Ratzeburg, Bergstraße",3,Bus,"c(10.755403298701, 53.695793595423)",53.695793595423,10.755403298701
800000375068,000000085287,"Ratzeburg, Saarlandstraße",3,Bus,"c(10.754800835895, 53.697689496709)",53.697689496709,10.754800835895
800000375069,000000033091,"Ratzeburg, Eupener Straße",3,Bus,"c(10.751178729312, 53.699072467445)",53.699072467445,10.751178729312
800000375070,000000085193,"Ratzeburg, Lübecker Straße",3,Bus,"c(10.754149183052, 53.700224123386)",53.700224123386,10.754149183052
800000375071,000000085188,"Ratzeburg, Lüneburger Damm",3,Bus,"c(10.762975418541, 53.699447479839)",53.699447479839,10.762975418541
800000375072,000000037554,"Ratzeburg, Demolierung",3,Bus,"c(10.770311000112, 53.699240385103)",53.699240385103,10.770311000112
800000375073,000000096021,"Klein Disnack, Am Bartelsbusch",3,Bus,"c(10.708697873194, 53.735908666237)",53.735908666237,10.708697873194
800000375074,000000037556,"Ratzeburg, Jägerdenkmal",3,Bus,"c(10.782919080145, 53.697669425695)",53.697669425695,10.782919080145
800000375075,000000037557,"Ratzeburg, Jägerstraße",3,Bus,"c(10.786364212333, 53.696782362197)",53.696782362197,10.786364212333
800000375076,000000091123,"Ratzeburg, Mechower Straße",3,Bus,"c(10.790474381357, 53.695157380126)",53.695157380126,10.790474381357
800000375077,000000075593,"Ratzeburg, Am Steindamm",3,Bus,"c(10.784691685362, 53.694830368638)",53.694830368638,10.784691685362
800000375078,000000037560,"Ratzeburg, Gartenstraße (Friedhof)",3,Bus,"c(10.788847671879, 53.692503842494)",53.692503842494,10.788847671879
800000375079,000000091421,"Ratzeburg, Tannenweg",3,Bus,"c(10.79814025803, 53.691708634179)",53.691708634179,10.79814025803
800000375090,000000037572,"Ratzeburg, Eichenweg",3,Bus,"c(10.783330969058, 53.688075134714)",53.688075134714,10.783330969058
800000375091,000000037573,"Ratzeburg, Krankenhaus",3,Bus,"c(10.779619450076, 53.689091882339)",53.689091882339,10.779619450076
800000375092,000000091132,"Ratzeburg, Röpersberg",3,Bus,"c(10.77435817769, 53.68746262889)",53.68746262889,10.77435817769
800000375093,000000091131,"Ratzeburg, Albert-Schweitzer-Straße",3,Bus,"c(10.776420651989, 53.686111084376)",53.686111084376,10.776420651989
800000375094,000000037576,"Ratzeburg, Seniorenwohnsitz",3,Bus,"c(10.7718537375, 53.682260839946)",53.682260839946,10.7718537375
800000375098,000000037580,"Ratzeburg, Stadtwerke",3,Bus,"c(10.805252836547, 53.691278084171)",53.691278084171,10.805252836547
800000375099,000000037581,"Ziethen, Twiete",3,Bus,"c(10.809121791108, 53.692882109265)",53.692882109265,10.809121791108
800000375100,000000037582,"Ziethen, Friedhof",3,Bus,"c(10.811438427831, 53.695704665022)",53.695704665022,10.811438427831
800000375101,000000037583,"Ziethen, Birkbusch",3,Bus,"c(10.805183990721, 53.695682320881)",53.695682320881,10.805183990721
800000375111,000000037764,Klosterberg,3,Bus,"c(10.702443134332, 53.74089505835)",53.74089505835,10.702443134332
800000375113,000000037586,"Ratzeburg, Seedorfer Straße",3,Bus,"c(10.788262337947, 53.687983593988)",53.687983593988,10.788262337947
800000375117,000000037570,"Ratzeburg, Ziethener Straße",3,Bus,"c(10.796264893006, 53.694243913205)",53.694243913205,10.796264893006
800000375118,000000037569,"Ratzeburg, Grüner Weg",3,Bus,"c(10.799364160932, 53.695554271215)",53.695554271215,10.799364160932
800000375119,000000037567,"Ratzeburg, Holunderweg",3,Bus,"c(10.800957165583, 53.698109329957)",53.698109329957,10.800957165583
800000375120,000000037568,"Ratzeburg, Weißdornweg",3,Bus,"c(10.801327349881, 53.699685315237)",53.699685315237,10.801327349881
800000375123,000000037564,"Ratzeburg, Riemannstraße",3,Bus,"c(10.795264404449, 53.700261635851)",53.700261635851,10.795264404449
800000375131,000000085194,"Ratzeburg, Markt",3,Bus,"c(10.774641028138, 53.699221207896)",53.699221207896,10.774641028138
800000375149,000000037592,"Ratzeburg, Fuchswald",3,Bus,"c(10.747963619032, 53.699685572799)",53.699685572799,10.747963619032
800000375151,000000011561,"Ratzeburg, Vorstadtschule",3,Bus,"c(10.789871249744, 53.700567039925)",53.700567039925,10.789871249744
800000375157,000000037599,Römnitz,3,Bus,"c(10.767569919408, 53.708985820686)",53.708985820686,10.767569919408
800000375161,000000037603,"Mechow, Am Brink",3,Bus,"c(10.803836542787, 53.716918813844)",53.716918813844,10.803836542787
800000375163,000000037604,"Ziethen, Sande",3,Bus,"c(10.838461540897, 53.692471056685)",53.692471056685,10.838461540897
800000375164,000000037605,"Mustin, Waldstraße",3,Bus,"c(10.865798093521, 53.693333131449)",53.693333131449,10.865798093521
800000375165,000000093121,"Mustin, Am Schmiedeberg",3,Bus,"c(10.871170835698, 53.688846021893)",53.688846021893,10.871170835698
800000375166,000000037607,"Mustin, Redder",3,Bus,"c(10.882378007278, 53.687241496029)",53.687241496029,10.882378007278
800000375168,000000037609,"Mustin, Kirche",3,Bus,"c(10.885363086375, 53.686286905037)",53.686286905037,10.885363086375
800000375169,000000093134,"Mustin, Salemer Straße",3,Bus,"c(10.886722690589, 53.683515688679)",53.683515688679,10.886722690589
800000375170,000000093151,"Kittlitz, Gut",3,Bus,"c(10.91132598589, 53.669591970961)",53.669591970961,10.91132598589
800000375171,000000093122,"Mustin, Goldenseer Straße",3,Bus,"c(10.882646962304, 53.691910111741)",53.691910111741,10.882646962304
800000375172,000000037613,Goldensee,3,Bus,"c(10.922596476035, 53.688120955437)",53.688120955437,10.922596476035
800000375173,000000037614,Rosenhagen,3,Bus,"c(10.941980029544, 53.6760718862)",53.6760718862,10.941980029544
800000375174,000000037615,"Niendorf am Schaalsee, Tannenkate",3,Bus,"c(10.928031398747, 53.649032821475)",53.649032821475,10.928031398747
800000375175,000000093152,"Kittlitz, Birkenweg",3,Bus,"c(10.914630953054, 53.664722474329)",53.664722474329,10.914630953054
800000375176,000000037617,"Kittlitz, Dorfstraße",3,Bus,"c(10.913652581122, 53.662833022861)",53.662833022861,10.913652581122
